id_parc,nom_usuel,code_insee,nom_commune,code_dept,code_reg,etat_parc,latitude,longitude
3300641,SEPE LUDMILA 2,58213,POUGNY,58,27,En exploitation,46.1390374,5.9509954
3300642,SEPE LUDMILA 3,58213,POUGNY,58,27,En exploitation,46.1390374,5.9509954
3301067,Parc éolien de Bretelle 3 ,21489,POISEUL LA GRANGE,21,27,En exploitation,47.5759348,4.8041303
3301068,Echalot,21237,ECHALOT,21,27,En exploitation,47.6123017,4.8366266
3301293,Parc éolien de Thory,89415,THORY,89,27,En exploitation,49.7196028,2.4340243
3301383,Oigny,21466,OIGNY,21,27,En exploitation,47.5846178,4.7278643073176365
3301384,Parc éolien ALLEREY,21009,ALLEREY,21,27,En exploitation,47.1894986,4.4418279
3301384,Parc éolien ALLEREY,21020,ARCONCEY,21,27,En exploitation,47.2187304,4.455021
3301610,MONT DE VILLEY Enr,25187,DAMBELIN,25,27,En exploitation,47.3748289,6.6747308
3301610,MONT DE VILLEY Enr,25583,VALONNE,25,27,En exploitation,47.3439565,6.659097
3301703,CENTRALE EOLIENNE PLATEAU AUXOIS SUD,21020,ARCONCEY,21,27,En exploitation,47.2187304,4.455021
3301703,CENTRALE EOLIENNE PLATEAU AUXOIS SUD,21068,BEUREY BAUGUAY,21,27,En exploitation,47.2334318,4.4218736
3301703,CENTRALE EOLIENNE PLATEAU AUXOIS SUD,21128,CHAILLY-SUR-ARMANCON,21,27,En exploitation,47.2718146,4.4851464
3301703,CENTRALE EOLIENNE PLATEAU AUXOIS SUD,21153,CHATELLENOT,21,27,En exploitation,47.2360919,4.4876061
3301747,Parc éolien de La Roche 4 Rivières,70089,BOURGUIGNON LES MOREY,70,27,En exploitation,47.7096,5.70026
3301747,Parc éolien de La Roche 4 Rivières,70247,FOUVENT-SAINT-ANDOCHE,70,27,En exploitation,47.6418027,5.6699704
3301747,Parc éolien de La Roche 4 Rivières,70373,LA ROCHE-MOREY,70,27,En exploitation,47.7109,5.74157
3301993,Bois des Saulx ENR,21491,POISEUL LES SAULX,21,27,En exploitation,47.5736883,4.9902777
3301993,Bois des Saulx ENR,21587,SAULX-LE-DUC,21,27,En exploitation,47.5394435,5.019293
3302192,TROIS CANTONS EnR,25159,COLOMBIER FONTAINE,25,27,En exploitation,47.4541385,6.6926206
3302192,TROIS CANTONS EnR,25224,ETOUVANS,25,27,En exploitation,47.4643548,6.71852
3302350,Parc éolien des Portes de la Côte d'Or Sud 1,21583,SANTOSSE,21,27,En exploitation,47.00443,4.62949
3302351,Parc éolien des Portes de la Côte d'Or Sud 2,21327,VAL MONT,21,27,En exploitation,47.03174605,4.6220525187370525
3302352,Parc éolien des Portes de la Côte d'Or Nord 1,21065,BESSEY EN CHAUME,21,27,En exploitation,47.08112,4.74254
3302353,Parc éolien des Portes de la Côte d'Or Nord 2,21030,AUBAINE,21,27,En exploitation,47.1367132,4.717995
3302353,Parc éolien des Portes de la Côte d'Or Nord 2,21065,BESSEY EN CHAUME,21,27,En exploitation,47.08112,4.74254
3302756,CHEMIN VERT,89120,COULOURS,89,27,En exploitation,48.1639,3.58643
3700619,SASU Le Parc Eolien du Cers,11098,CONILHAC CORBIERES,11,76,En exploitation,43.1875,2.71799
3700619,SASU Le Parc Eolien du Cers,11126,ESCALES,11,76,En exploitation,43.223836,2.6961403
3701904,SAMEOLE - PE de Cruscades et Canet - 6E,11067,CANET,11,76,En exploitation,43.2292848,2.8474926
3701904,SAMEOLE - PE de Cruscades et Canet - 6E,11111,CRUSCADES,11,76,En exploitation,43.191577,2.816826
3702207,GRAMENTES ENERGIE,11221,LES MARTYS,11,76,En exploitation,43.4161,2.30603
3800129,ENERGIE DE L'OBI,2264,DIZY LE GROS,2,32,En exploitation,49.637389,3.9919
3800130,ENERGIE 02,2097,BONCOURT,2,32,En exploitation,49.62746,3.938614
3800130,ENERGIE 02,2264,DIZY LE GROS,2,32,En exploitation,49.637389,3.9919
3800146,Vermandovillers et Lihons 1 (Engie Green),80481,LIHONS,80,32,En exploitation,49.839208,2.744672
3800146,Vermandovillers et Lihons 1 (Engie Green),80789,VERMANDOVILLERS,80,32,En exploitation,49.84937,2.774983
3800156,PARC EOLIEN LES TULIPES,80027,ARMANCOURT,80,32,En exploitation,49.375091,2.760913
3800156,PARC EOLIEN LES TULIPES,80233,DANCOURT-POPINCOURT,80,32,En exploitation,49.676753,2.73023
3800156,PARC EOLIEN LES TULIPES,80263,L ECHELLE ST AURIN,80,32,En exploitation,49.691523,2.713724
3800156,PARC EOLIEN LES TULIPES,80517,MARQUIVILLERS,80,32,En exploitation,49.686405,2.682061
3800158,FERME EOLIENNE DU LINDIER,62121,BEUGNATRE,62,32,En exploitation,50.13578,2.875783
3800158,FERME EOLIENNE DU LINDIER,62326,FAVREUIL,62,32,En exploitation,50.1239354,2.8567508
3800160,FERME EOLIENNE DE LA MARTELOTTE,62594,MORY,62,32,En exploitation,50.157595,2.8556301
3800160,FERME EOLIENNE DE LA MARTELOTTE,62839,VAULX-VRAUCOURT,62,32,En exploitation,50.1486717,2.9068006
3800188,LE BOIS ARRACHIS,62256,CREPY,62,32,En exploitation,50.4725262,2.2011403
3800189,SARFAUCRY,62364,FRUGES,62,32,En exploitation,50.5150387,2.1349286
3800190,LA FLAQUE ANNETTES,62453,HEZECQUES,62,32,En exploitation,50.5307598,2.1787268
3800191,LA MOTTE MOULIN,62246,COUPELLE NEUVE,62,32,En exploitation,50.5006894,2.1197164
3800194,LE BOIS CROSSE,62247,COUPELLE VIEILLE,62,32,En exploitation,50.5249572,2.0990543
3800195,LE PARQUET,62209,CANLERS,62,32,En exploitation,50.4822159,2.1422018
3800195,LE PARQUET,62843,VERCHIN,62,32,En exploitation,50.4940466,2.1849708
3800196,BEAULIEU,62246,COUPELLE NEUVE,62,32,En exploitation,50.5006894,2.1197164
3800197,SEHU,62246,COUPELLE NEUVE,62,32,En exploitation,50.5006894,2.1197164
3800198,LA PLAINE BUISSON,62026,AMBRICOURT,62,32,En exploitation,50.4679727,2.1756261
3800250,LE CROCQ,80099,BETTENCOURT RIVIERE,80,32,En exploitation,49.996356,1.9771414
